N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
16,64,8,2,RESNET-18,module3/conv3_2_b/Convolution,1806385,49,29595009024,2359296,822083584,822083584,29595009024,462422016,875823104,411041792,4096,131072,32768,65536,16
16,64,8,2,RESNET-18,module3/conv3_2_a/Convolution,200776,72,3288334336,262144,411041792,411041792,3288334336,12845056,218628096,205520896,4096,131072,32768,65536,16
16,64,8,2,RESNET-18,module5/conv5_1_a/Convolution,100388,36,1644167168,234881024,102760448,102760448,1644167168,1605632,287866880,51380224,4096,131072,32768,65536,16
16,64,8,2,RESNET-18,module2/conv2_2_b/Convolution,1806413,77,29595009024,589824,411041792,411041792,29595009024,462422016,668532736,205520896,4096,131072,32768,65536,16
16,64,8,2,RESNET-18,module4/conv4_2_a/Convolution,200757,53,3288334336,1048576,102760448,102760448,3288334336,51380224,103809024,51380224,4096,131072,32768,65536,16
16,64,8,2,RESNET-18,module5/conv5_1_b/Convolution,1806385,49,29595009024,3699376128,436731904,436731904,29595009024,462422016,4187488256,25690112,4096,131072,32768,65536,16
16,64,8,2,RESNET-18,module5/conv5_2_a/Convolution,200735,31,3288334336,469762048,205520896,205520896,3288334336,3211264,575733760,102760448,4096,131072,32768,65536,16
16,64,8,2,RESNET-18,module4/conv4_1_a/Convolution,100495,143,1644167168,524288,102760448,102760448,1644167168,3211264,55115776,51380224,4096,131072,32768,65536,16
16,64,8,2,RNN,matmul/MatMul,65612,76,1073741824,134217728,136314880,136314880,1073741824,262144,136577024,2097152,4096,131072,32768,65536,16
16,64,8,2,LSTM,matmul/MatMul,52053,69,851705856,106463232,108331008,108331008,851705856,233472,108564480,1867776,4096,131072,32768,65536,16
16,128,8,2,AlexNet,conv4_b/Convolution,438187,139,14353956864,5308416,398721024,398721024,14353956864,112140288,316809216,199360512,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv2_a/Convolution,1166615,215,38220595200,3276800,382205952,382205952,38220595200,298598400,492978176,191102976,4096,262144,65536,131072,16
16,128,8,2,AlexNet,fc3/MatMul,65573,37,1073741824,67108864,268959744,268959744,1073741824,8388608,76021760,524288,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv1_b/Convolution,1113280,80,13493145600,282624,346931200,346931200,13493145600,140553600,339082624,198246400,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv3_a/Convolution,584203,139,19138609152,7077888,531628032,531628032,19138609152,149520384,422412288,265814016,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv4_a/Convolution,438187,139,14353956864,5308416,398721024,398721024,14353956864,112140288,316809216,199360512,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv1_a/Convolution,1113280,80,13493145600,282624,346931200,346931200,13493145600,140553600,339082624,198246400,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv5_b/Convolution,292171,139,9569304576,3538944,265814016,265814016,9569304576,74760192,211206144,132907008,4096,262144,65536,131072,16
16,128,8,2,AlexNet,fc1/MatMul,294953,41,9663676416,603979776,1212153856,1212153856,9663676416,75497472,683671552,4194304,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv3_b/Convolution,584203,139,19138609152,7077888,531628032,531628032,19138609152,149520384,422412288,265814016,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv2_b/Convolution,1166615,215,38220595200,3276800,382205952,382205952,38220595200,298598400,492978176,191102976,4096,262144,65536,131072,16
16,128,8,2,AlexNet,fc2/MatMul,131240,168,4294967296,268435456,541065216,541065216,4294967296,524288,273154048,4194304,4096,262144,65536,131072,16
16,128,8,2,AlexNet,conv5_a/Convolution,292171,139,9569304576,3538944,265814016,265814016,9569304576,74760192,211206144,132907008,4096,262144,65536,131072,16
16,128,8,2,SVHN,conv4/Convolution,18562,130,301989888,327680,16777216,16777216,301989888,1179648,9895936,8388608,4096,262144,65536,131072,16
16,128,8,2,SVHN,fc7/MatMul,788,276,16777216,1048576,1048576,1048576,16777216,16384,1589248,524288,4096,262144,65536,131072,16
16,128,8,2,SVHN,conv0/Convolution,33633,17249,28311552,4096,100663296,100663296,226492416,3538944,70651904,67108864,4096,262144,65536,131072,16
16,128,8,2,SVHN,conv3/Convolution,36956,92,603979776,163840,33554432,33554432,603979776,4718592,21659648,16777216,4096,262144,65536,131072,16
16,128,8,2,SVHN,conv1/Convolution,147494,38,603979776,49152,100663296,100663296,603979776,9437184,76595200,67108864,4096,262144,65536,131072,16
16,128,8,2,SVHN,conv2/Convolution,36922,58,301989888,98304,33554432,33554432,301989888,2359296,19234816,16777216,4096,262144,65536,131072,16
16,128,8,2,SVHN,fc8/MatMul,103,39,163840,10240,70656,70656,163840,16384,92160,65536,4096,262144,65536,131072,16
16,128,8,2,SVHN,conv5/Convolution,18644,212,603979776,589824,16777216,16777216,603979776,2359296,11337728,8388608,4096,262144,65536,131072,16
16,128,8,2,SVHN,fc6/MatMul,2160,112,67108864,4194304,2097152,2097152,67108864,65536,5308416,1048576,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,conv4/Convolution,37033,169,2415919104,2359296,33554432,33554432,2415919104,18874368,38010880,16777216,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,fc7/MatMul,776,264,33554432,2097152,1048576,1048576,33554432,32768,2654208,524288,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,conv0/Convolution,33640,872,452984832,32768,134217728,134217728,452984832,3538944,70680576,67108864,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,conv3/Convolution,73897,169,4831838208,1179648,67108864,67108864,4831838208,37748736,72482816,33554432,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,conv1/Convolution,147557,101,4831838208,327680,134217728,134217728,4831838208,37748736,105185280,67108864,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,conv2/Convolution,73929,201,2415919104,655360,67108864,67108864,2415919104,18874368,53084160,33554432,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,fc8/MatMul,109,45,327680,20480,70656,70656,327680,32768,118784,65536,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,conv5/Convolution,73897,169,4831838208,4718592,67108864,67108864,4831838208,37748736,76021760,33554432,4096,262144,65536,131072,16
16,128,8,2,CIFAR10,fc6/MatMul,4416,320,268435456,16777216,2621440,2621440,268435456,262144,17563648,524288,4096,262144,65536,131072,16
16,128,8,2,LeNet-5,conv1/Convolution,102482,82,419430400,131072,25165824,25165824,419430400,2359296,19267584,16777216,4096,262144,65536,131072,16
16,128,8,2,LeNet-5,fc2/MatMul,71,39,163840,10240,70656,70656,163840,16384,92160,65536,4096,262144,65536,131072,16
16,128,8,2,LeNet-5,conv0/Convolution,32972,16588,26214400,16384,83886080,83886080,26214400,819200,67944448,67108864,4096,262144,65536,131072,16
16,128,8,2,LeNet-5,fc1/MatMul,1216,192,67108864,4194304,4456448,4456448,67108864,131072,4587520,262144,4096,262144,65536,131072,16
16,128,8,2,VGG-7,conv2_a/Convolution,73929,201,2415919104,655360,67108864,67108864,2415919104,18874368,53084160,33554432,4096,262144,65536,131072,16
16,128,8,2,VGG-7,conv1_b/Convolution,33000,16616,113246208,65536,134217728,134217728,113246208,884736,68059136,67108864,4096,262144,65536,131072,16
16,128,8,2,VGG-7,conv3_a/Convolution,37033,169,2415919104,2359296,33554432,33554432,2415919104,18874368,38010880,16777216,4096,262144,65536,131072,16
16,128,8,2,VGG-7,conv1_a/Convolution,33000,16616,113246208,65536,134217728,134217728,113246208,884736,68059136,67108864,4096,262144,65536,131072,16
16,128,8,2,VGG-7,fc1/MatMul,4416,320,268435456,16777216,2621440,2621440,268435456,262144,17563648,524288,4096,262144,65536,131072,16
16,128,8,2,VGG-7,conv3_b/Convolution,37033,169,2415919104,2359296,33554432,33554432,2415919104,18874368,38010880,16777216,4096,262144,65536,131072,16
16,128,8,2,VGG-7,conv2_b/Convolution,73929,201,2415919104,655360,67108864,67108864,2415919104,18874368,53084160,33554432,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module4/conv4_1_b/Convolution,903300,132,29595009024,9437184,822083584,822083584,29595009024,102760448,523239424,411041792,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module3/conv3_1_a/Convolution,51776,1600,1644167168,131072,205520896,205520896,1644167168,6422528,109314048,102760448,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module2/conv2_1_a/Convolution,106640,6288,3288334336,65536,411041792,411041792,3288334336,25690112,231276544,205520896,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module2/conv2_1_b/Convolution,903325,157,29595009024,589824,411041792,411041792,29595009024,231211008,437321728,205520896,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module4/conv4_2_b/Convolution,903300,132,29595009024,9437184,822083584,822083584,29595009024,102760448,523239424,411041792,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module2/conv2_2_a/Convolution,106640,6288,3288334336,65536,411041792,411041792,3288334336,25690112,231276544,205520896,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,conv1_a/Convolution,2007090,50,30211571712,163840,1644167168,1644167168,30211571712,236027904,1058275328,822083584,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module5/conv5_2_b/Convolution,903281,113,29595009024,1849688064,436731904,436731904,29595009024,231211008,2106589184,25690112,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module3/conv3_1_b/Convolution,903281,113,29595009024,2359296,822083584,822083584,29595009024,231211008,644612096,411041792,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module3/conv3_2_b/Convolution,903281,113,29595009024,2359296,822083584,822083584,29595009024,231211008,644612096,411041792,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module3/conv3_2_a/Convolution,100438,86,3288334336,262144,205520896,205520896,3288334336,12845056,115867648,102760448,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module5/conv5_1_a/Convolution,50282,106,1644167168,2097152,102760448,102760448,1644167168,12845056,66322432,51380224,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module2/conv2_2_b/Convolution,903325,157,29595009024,589824,411041792,411041792,29595009024,231211008,437321728,205520896,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module4/conv4_2_a/Convolution,100638,286,3288334336,1048576,102760448,102760448,3288334336,6422528,58851328,51380224,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module5/conv5_1_b/Convolution,903281,113,29595009024,1849688064,436731904,436731904,29595009024,231211008,2106589184,25690112,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module5/conv5_2_a/Convolution,100486,134,3288334336,4194304,102760448,102760448,3288334336,25690112,81264640,51380224,4096,262144,65536,131072,16
16,128,8,2,RESNET-18,module4/conv4_1_a/Convolution,50334,158,1644167168,524288,102760448,102760448,1644167168,3211264,55115776,51380224,4096,262144,65536,131072,16
16,128,8,2,RNN,matmul/MatMul,32872,104,1073741824,67108864,136314880,136314880,1073741824,262144,69468160,2097152,4096,262144,65536,131072,16
16,128,8,2,LSTM,matmul/MatMul,26545,97,866648064,54165504,110231552,110231552,866648064,233472,56299520,1900544,4096,262144,65536,131072,16
16,256,8,2,AlexNet,conv4_b/Convolution,292267,235,19138609152,7077888,531628032,531628032,19138609152,74760192,347652096,265814016,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv2_a/Convolution,583645,445,38220595200,3276800,382205952,382205952,38220595200,149299200,343678976,191102976,4096,524288,131072,262144,16
16,256,8,2,AlexNet,fc3/MatMul,33288,520,1073741824,67108864,268959744,268959744,1073741824,1048576,68681728,524288,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv1_b/Convolution,1113307,107,13493145600,282624,545177600,545177600,13493145600,140553600,537329024,396492800,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv3_a/Convolution,389611,235,25518145536,9437184,708837376,708837376,25518145536,99680256,463536128,354418688,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv4_a/Convolution,292267,235,19138609152,7077888,531628032,531628032,19138609152,74760192,347652096,265814016,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv1_a/Convolution,1113307,107,13493145600,282624,545177600,545177600,13493145600,140553600,537329024,396492800,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv5_b/Convolution,146251,235,9569304576,3538944,265814016,265814016,9569304576,37380096,173826048,132907008,4096,524288,131072,262144,16
16,256,8,2,AlexNet,fc1/MatMul,151808,4352,9663676416,603979776,155189248,155189248,9663676416,9437184,617611264,4194304,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv3_b/Convolution,389611,235,25518145536,9437184,708837376,708837376,25518145536,99680256,463536128,354418688,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv2_b/Convolution,583645,445,38220595200,3276800,382205952,382205952,38220595200,149299200,343678976,191102976,4096,524288,131072,262144,16
16,256,8,2,AlexNet,fc2/MatMul,67712,2176,4294967296,268435456,20971520,20971520,4294967296,524288,273154048,4194304,4096,524288,131072,262144,16
16,256,8,2,AlexNet,conv5_a/Convolution,146251,235,9569304576,3538944,265814016,265814016,9569304576,37380096,173826048,132907008,4096,524288,131072,262144,16
16,256,8,2,SVHN,conv4/Convolution,9364,148,301989888,327680,16777216,16777216,301989888,1179648,9895936,8388608,4096,524288,131072,262144,16
16,256,8,2,SVHN,fc7/MatMul,772,516,16777216,1048576,1048576,1048576,16777216,16384,1589248,524288,4096,524288,131072,262144,16
16,256,8,2,SVHN,conv0/Convolution,66401,50017,28311552,4096,167772160,167772160,226492416,3538944,137760768,134217728,4096,524288,131072,262144,16
16,256,8,2,SVHN,conv3/Convolution,36972,108,603979776,163840,50331648,50331648,603979776,4718592,38436864,33554432,4096,524288,131072,262144,16
16,256,8,2,SVHN,conv1/Convolution,147502,46,603979776,49152,167772160,167772160,603979776,9437184,143704064,134217728,4096,524288,131072,262144,16
16,256,8,2,SVHN,conv2/Convolution,36938,74,301989888,98304,50331648,50331648,301989888,2359296,36012032,33554432,4096,524288,131072,262144,16
16,256,8,2,SVHN,fc8/MatMul,135,71,163840,10240,136192,136192,163840,16384,157696,131072,4096,524288,131072,262144,16
16,256,8,2,SVHN,conv5/Convolution,9464,248,603979776,589824,16777216,16777216,603979776,2359296,11337728,8388608,4096,524288,131072,262144,16
16,256,8,2,SVHN,fc6/MatMul,1360,336,67108864,4194304,8912896,8912896,67108864,65536,4784128,524288,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,conv4/Convolution,18884,452,2415919104,2359296,33554432,33554432,2415919104,9437184,28573696,16777216,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,fc7/MatMul,1032,776,33554432,2097152,1048576,1048576,33554432,32768,2654208,524288,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,conv0/Convolution,66408,33640,452984832,32768,201326592,201326592,452984832,3538944,137789440,134217728,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,conv3/Convolution,37234,370,4831838208,1179648,67108864,67108864,4831838208,18874368,53608448,33554432,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,conv1/Convolution,147600,144,4831838208,327680,201326592,201326592,4831838208,16777216,151322624,134217728,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,conv2/Convolution,37128,264,2415919104,655360,67108864,67108864,2415919104,9437184,43646976,33554432,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,fc8/MatMul,141,77,327680,20480,136192,136192,327680,32768,184320,131072,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,conv5/Convolution,37316,452,4831838208,4718592,67108864,67108864,4831838208,18874368,57147392,33554432,4096,524288,131072,262144,16
16,256,8,2,CIFAR10,fc6/MatMul,4416,2368,268435456,16777216,1572864,1572864,268435456,262144,17563648,524288,4096,524288,131072,262144,16
16,256,8,2,LeNet-5,conv1/Convolution,102514,114,419430400,131072,41943040,41943040,419430400,6553600,40239104,33554432,4096,524288,131072,262144,16
16,256,8,2,LeNet-5,fc2/MatMul,103,71,163840,10240,136192,136192,163840,16384,157696,131072,4096,524288,131072,262144,16
16,256,8,2,LeNet-5,conv0/Convolution,65740,49356,26214400,16384,150994944,150994944,26214400,819200,135053312,134217728,4096,524288,131072,262144,16
16,256,8,2,LeNet-5,fc1/MatMul,1184,672,67108864,4194304,524288,524288,67108864,131072,4587520,262144,4096,524288,131072,262144,16
16,256,8,2,VGG-7,conv2_a/Convolution,37128,264,2415919104,655360,67108864,67108864,2415919104,9437184,43646976,33554432,4096,524288,131072,262144,16
16,256,8,2,VGG-7,conv1_b/Convolution,65768,49384,113246208,65536,201326592,201326592,113246208,884736,135168000,134217728,4096,524288,131072,262144,16
16,256,8,2,VGG-7,conv3_a/Convolution,18884,452,2415919104,2359296,33554432,33554432,2415919104,9437184,28573696,16777216,4096,524288,131072,262144,16
16,256,8,2,VGG-7,conv1_a/Convolution,65768,49384,113246208,65536,201326592,201326592,113246208,884736,135168000,134217728,4096,524288,131072,262144,16
16,256,8,2,VGG-7,fc1/MatMul,4416,2368,268435456,16777216,1572864,1572864,268435456,262144,17563648,524288,4096,524288,131072,262144,16
16,256,8,2,VGG-7,conv3_b/Convolution,18884,452,2415919104,2359296,33554432,33554432,2415919104,9437184,28573696,16777216,4096,524288,131072,262144,16
16,256,8,2,VGG-7,conv2_b/Convolution,37128,264,2415919104,655360,67108864,67108864,2415919104,9437184,43646976,33554432,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module4/conv4_1_b/Convolution,451823,239,29595009024,9437184,822083584,822083584,29595009024,115605504,536084480,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module3/conv3_1_a/Convolution,51776,26688,1644167168,131072,205520896,205520896,1644167168,6422528,109314048,102760448,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module2/conv2_1_a/Convolution,206992,106640,3288334336,65536,616562688,616562688,3288334336,25690112,436797440,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module2/conv2_1_b/Convolution,903353,185,29595009024,589824,616562688,616562688,29595009024,231211008,642842624,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module4/conv4_2_b/Convolution,451823,239,29595009024,9437184,822083584,822083584,29595009024,115605504,536084480,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module2/conv2_2_a/Convolution,206992,106640,3288334336,65536,616562688,616562688,3288334336,25690112,436797440,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,conv1_a/Convolution,2007115,75,30211571712,163840,2466250752,2466250752,30211571712,236027904,1880358912,1644167168,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module5/conv5_2_b/Convolution,451819,235,29595009024,37748736,822083584,822083584,29595009024,115605504,564396032,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module3/conv3_1_b/Convolution,451788,204,29595009024,2359296,822083584,822083584,29595009024,51380224,464781312,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module3/conv3_2_b/Convolution,451788,204,29595009024,2359296,822083584,822083584,29595009024,51380224,464781312,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module3/conv3_2_a/Convolution,53376,3200,3288334336,262144,205520896,205520896,3288334336,12845056,115867648,102760448,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module5/conv5_1_a/Convolution,25681,593,1644167168,2097152,51380224,51380224,1644167168,1605632,29392896,25690112,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module2/conv2_2_b/Convolution,903353,185,29595009024,589824,616562688,616562688,29595009024,231211008,642842624,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module4/conv4_2_a/Convolution,50492,316,3288334336,1048576,102760448,102760448,3288334336,6422528,58851328,51380224,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module5/conv5_1_b/Convolution,451819,235,29595009024,37748736,822083584,822083584,29595009024,115605504,564396032,411041792,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module5/conv5_2_a/Convolution,50516,340,3288334336,4194304,102760448,102760448,3288334336,12845056,68419584,51380224,4096,524288,131072,262144,16
16,256,8,2,RESNET-18,module4/conv4_1_a/Convolution,26000,912,1644167168,524288,102760448,102760448,1644167168,3211264,55115776,51380224,4096,524288,131072,262144,16
16,256,8,2,RNN,matmul/MatMul,17472,1088,1073741824,67108864,6291456,6291456,1073741824,262144,69468160,2097152,4096,524288,131072,262144,16
16,256,8,2,LSTM,matmul/MatMul,14697,1017,896532480,56033280,114032640,114032640,896532480,233472,58232832,1966080,4096,524288,131072,262144,16
